Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
4806984.052,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807018.528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807051.495,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807085.524,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807119.495999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807152.079,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807186.568999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807219.862999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807252.893,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807287.585,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807320.282,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807353.717999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807388.545999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807420.935,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807454.543,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807488.888,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807521.749,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807555.359999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807589.304,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807623.022999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807656.193,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807689.786,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807724.478999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807757.192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807790.612999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807825.266999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807857.827,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807891.4399999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807925.912,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807958.643999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4807992.257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808026.261,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808059.469,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808093.083,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808126.685,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808161.365,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808193.902,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808227.499,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808261.459,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808294.9399999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808328.329,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808362.846999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808395.521,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808429.958,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808463.498,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808496.365999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808530.988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808563.835999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808597.176999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808631.773999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808664.404999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808698.007999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808732.435,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808765.215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808798.813999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808832.796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808866.556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808899.643,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808933.260999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4808967.801999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809000.698,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809034.087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809068.692999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809101.370999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809134.887999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809169.56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809202.1049999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809235.716999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809269.876999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809302.93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809336.529999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809370.356,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809403.749999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809437.363999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809470.972999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809504.677999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809538.396999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809571.7930000005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809606.168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809639.005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809673.441,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809707.101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809739.8319999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809774.402999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809807.648999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809840.644,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809875.22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809907.867,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809941.465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4809975.966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810008.661,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810042.291,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810076.653999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810109.925,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810143.107999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810176.722999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810210.892,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810244.164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810277.541999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810312.038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810345.004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810378.357,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810412.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810445.57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810479.171999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810513.511999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810546.391999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810580.009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810613.856999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810647.221999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4810680.813,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
